username,age,profile_description,date,review_content,usage_period,purchase_point,recommend,rating_count,jenis_produk
i30,35 - 39,",35 - 39",2024-09-21,Sunscreen ini kenapa terasa sangat panas di wajahku ya?? Coba pakai ini karna baca deskripsi produk cocok untuk wajah berminyak & pori-pori besar. Udah coba pakai dengan dan tanpa serum maupun moisturizer sama aja. Butuh penjelasan🙏🏻,Less than 1 week,Lazada,i30 doesn't recommend this product!,3,Skinaqua UV Moisture Gel
lemonteaaaa12,19 - 24,"Normal, Medium, Neutral",2024-09-18,Pertama kali memakai ini sekitaran 2 tahun yg lalu dan ternyata cocok bgt di kulit aku. Ga bikin beruntusan dan tidak membuat jerawatku meradang. Penantian mencari sunscreen sepertinya berhenti sementara karena sunscreen skin aqua ini buat aku betah dan cocok🤏🏼 dna aku pasti selalu nyetok cadangan ehehe,More than 1 year,Guardian,lemonteaaaa12 recommends this product!,5,Skinaqua UV Moisture Gel
Hrsheli,30 - 34,"Combination, Medium, Neutral",2024-08-24,"mungkin cocok²an kali ya, soalnya di aku kureng. pernah nyoba variant yg berbeda tapi sama aja. nyobain ini karna di adek aku bagus, bikin glowing. di aku malah kusam :( padahal biasanya sunscreen ada efek cerahnya gitu. ini juga bikin kulitku berminyak bgt. oksidasinya di aku cepet bgt sad :((",1 month - 3 months,Shopee,Hrsheli recommends this product!,3,Skinaqua UV Moisture Gel
zaraaini45,19 - 24,"Dry, Light, Neutral",2024-08-04,"Fix aku kayaknya emang ga cocok sama produk produk dari skin aqua, karena aku coba pake produk ini cuma 3 kali dan rasanya tetap sama sama perih dan bikin breakout. Akhirnya aku kasih ke temanku teksturnya sih oke aku suka yang teksturnya kaya gini tapi tetep aja ini bikin breakout",Less than 1 week,Dan+dan,zaraaini45 doesn't recommend this product!,3,Skinaqua UV Moisture Gel
Fitriayden,35 - 39,"Normal, Light, Neutral",2024-07-31,"Ini yg aku coba adalah formula baru ya yg spf 50 pa+++,.pekejingnya masih spt yg spf 30 yg lama..teksturnya light lotion,nggak kecium wangi yg ganggu,tapii aku kurang suka finishnya,krn terlalu lengket buat preference aku,sehingga agak kurang nyaman dipake...pdhl kulit aku dry dan SS ini utk kulit oily yg seharusnya punya finish lebih ringan gak sih?",1 month - 3 months,Shopee,Fitriayden recommends this product!,3,Skinaqua UV Moisture Gel
SeptemberyDe,30 - 34,"Combination, Medium Light, Neutral",2024-07-18,"My go-to product & most reliable sunscreen. Udah repurchase berkali-kali! Kualitas bagus & harga affordable. Seperti produk2 keluaran Rohto lainnya, ini nggak pake gimmick2 zat atau kandungan yang unnecessary, jadi bikin aju ngerasa aman & nyaman pake ini di kulit. Produk cepet meresap dan nggak bikin white-cast. Hasilnya pun lembap, jadi bagus yaa untuk ditimpa makeup ataupun tanpa makeup. Akan terus repurchase~",More than 1 year,Tokopedia,SeptemberyDe recommends this product!,5,Skinaqua UV Moisture Gel
hhhhfdz,19 - 24,"Combination, Medium, Neutral",2024-07-17,"sunscreen lightweight rasanya kayak air, it felt nice, harga agak lumayan dikit, kemasannya lumayan aman dan anti tumpah krn corongnya kecil dan cara ngeluarin produknya hny dengan dipencet aj sih, overall gabikin kusam, dan lumayan gampang untik diaplikasikan.",1 month - 3 months,Watson,hhhhfdz recommends this product!,5,Skinaqua UV Moisture Gel
ninthesciuridae,18 and Under,"Combination, Medium, Neutral",2024-07-14,"dulu pernah nyoba yang tutup putih, soalnya sering masuk ke fyp tiktok, pas nyoba kayak whitecast dikit terus aga minyakan gitu. Abis itu gamau lagi nyoba skinaqua, gonta ganti sunscreen karena belom nemu yang cocok, direkomin sama temen yang tutup ijo, awalnya gamau tapi yaudahlah soalnya ganemu lagi terus ternyata cocok walopun kalo abis pake moisturizer harus bener bener nunggu kering dulu baru pake ss soalnya kalo engga nanti kayak ada bercak putihnya gitu",1 month - 3 months,Shopee,ninthesciuridae recommends this product!,4,Skinaqua UV Moisture Gel
novawidiastuti,19 - 24,"Combination, Medium, Warm",2024-07-14,"so far so good lah ya. Ga ada whitecast, ga lengket, gampang nge-blend, nyerepnya cepet. Teksturnya light bangettt, se cair itu.. agak kaget ngeliatnya, ternyata emang begitu, cukup ambil dikit aja udah oke.",1 month - 3 months,Watson,novawidiastuti recommends this product!,5,Skinaqua UV Moisture Gel
divaaa_,18 and Under,"Oily, Medium Light, Neutral",2024-07-12,Teksturnya ringan dan menurut aku cocok banget untuk kulit oil seperti aku aku rekomendasiin banget deh sunscreen ini tapi sayangnya dia agak mahal jadi kayak kalau makainya itu sayang-sayang gitu nggak boleh ya karena sunscreen kan penting,3 months - 6 months,Shopee,divaaa_ recommends this product!,5,Skinaqua UV Moisture Gel
kanayaderiella,19 - 24,"Oily, Light, Cool",2024-07-08,aku pake sunscreen ini kalau lagi dirumah ajaa karna spf nya 30Pa++ kaan. menurut aku sunscreen ini lumayan bikin oily. lumayan cepat nyerapnya. sekarang makin mahal ajaa harga ini sunscreen. walaupun packaging nya keliatan kecil tapi abis nya lama bangett,6 months - 1 year,Shopee,kanayaderiella recommends this product!,4,Skinaqua UV Moisture Gel
sushiiw,18 and Under,"Combination, Medium Light, Neutral",2024-07-08,"aku awalnya make yg spf 30 aman aman aja muka aku gd jerawat samsek, tapi semnjak udh upgrade ke spf 50 muka aku langsung muncul jerawat gitu terus abis apply ss nya muka jadi panas jir lah, minimal yg spf 30 jangan diilangin ROHTOO pls lah balikin yg spf 30 🙂",Less than 1 week,Shopee,sushiiw doesn't recommend this product!,2,Skinaqua UV Moisture Gel
anggitasetyarini12,19 - 24,"Oily, Medium Light, Neutral",2024-07-06,"Baguuss, meskipun agak sedikit tone up, tapi ini lumayan bagus dengan harga yang affordable juga, tekstur nya juga watery yang cocok buat kulit berminyak sepertiku. Kurangnya cuma agak tone up aja, jadikadang lama kelamaan jadi agak abu diwajah",6 months - 1 year,Guardian,anggitasetyarini12 recommends this product!,4,Skinaqua UV Moisture Gel
ellsichaa,25 - 29,"Oily, Medium Light, Neutral",2024-07-04,"Pakai produk ini udah lama banget, dan ngga ada ketidakcocokan. Finishnya ngga bikin white case, dan sangaaaat moisturizing. Bikin kulit wajah terasa lebih nyaman, selain untuk proteksi UV. Sejauh ini masih sangat cocok dan akan repurchase lagi lagi lagi.",More than 1 year,Shopee,ellsichaa recommends this product!,5,Skinaqua UV Moisture Gel
Shandyagia,30 - 34,"Combination, Medium Light, Neutral",2024-06-22,"Emang bandel kalo kepo. Udah tau kurang klik sama brand ini tapi masih ajapenasaran buat beli. Karena digadang-gadang dari Jepang dan bagus kata orang-orang. Dengan pendapatku sebelumnya bahwa:Kalo untuk yang kulitnya kering tapi males buat pake skincare atau makeup yang bikin keliatan oily, Skin Aqua ini pilihan tepat. Teksturnya cair banget, cenderung watery dan gampang meresap di kulit. Kulit jadi lembab dan segar. Tapi di aku rasanya kurang mantap. Mungkin karena rasanya 'terlalu ringan' jadi kayak ga pake apa apa. Bedanya sama Skin Aqua lain yang kucoba adalah, yang ini rasanya lebih nge-gell teksturnya, agaklebih susah menyerap di kulitku, tapi lebih adem.",1 month - 3 months,Traditional Market,Shandyagia recommends this product!,4,Skinaqua UV Moisture Gel
kramschie,18 and Under,"Oily, Medium Light, Cool",2024-06-17,"tulisannya sih buat oily skin ya? tapi kok dimuka aku yg oily skin malah berminyak bgtt 😭 sebenernya ini bagus bgt teksturnya, trs cepet ngeresep juga, cuma minusnya buat dikulit aku yg oily malah berminyakkk bgt, aku rekomen ini buat yg normal/ dry skin sih yaa",1 month - 3 months,Tiktok Shop,kramschie recommends this product!,3,Skinaqua UV Moisture Gel
jejealbania,18 and Under,"Combination, Medium Light, Cool",2024-06-09,"AKU GK PERNAH MOVE KE MANA MANA, SELALU PAKAI PRODUK INI DRI ZAMAN AKU SMP KELAS 7, SEBAGUS ITUU BENER² MELINDUNGI AKU DARI SINAR MATAHARI, KRNA SS INI KULITKU GA BELANG, PRODUK INI UDH GK BS DIRAGUKAN LGII, MINUS DRI PRODUK INI MNGKINN TERLALU BERMINYAK DAN SEDIKIT MEMBUAT WAJAH KU TUH KAYA OILY BGT APALAGI PAS KERINGETAN, BUT ITS OKAYY NP. REPURSE? YESS OFC",More than 1 year,Brand Website,jejealbania recommends this product!,5,Skinaqua UV Moisture Gel
rarapravita,30 - 34,"Combination, Medium, Neutral",2024-06-09,"So far this is the best sunscreen that suits my skin well. Nggak whitecast, hydrating,dan gampang banget meresap di kulit. Untuk olahraga juga cocok karena teksturnya yang watery dan nggak nutupin pori-pori. Ada versi spray juga untuk touch-up.",More than 1 year,AEON,rarapravita recommends this product!,5,Skinaqua UV Moisture Gel
chasarmdhn,19 - 24,"Combination, Light, Warm",2024-06-09,"aku udah pake ini dari sma waktu awal awal kenal skincare, cocok di kulit aku yang sensitif combi to oily, dan di aku ngga ada white casenya, cuma kadang kalo foto pake kamera belakang ada flashback sedikit, dan non comedo genic, untul harga juga affordable buat aku yang masih sma waktu itu",More than 1 year,Shopee,chasarmdhn recommends this product!,5,Skinaqua UV Moisture Gel
Hestooyy,25 - 29,"Combination, Medium, Neutral",2024-06-09,"Satu satunya sunscreen yang cocok di muka aku yang tipenya kombinasi. Teksturnya ringan, dan ga bikin lengket dimuka, ga bikin muka berminyak. Ditambah udah dilengkapi spf yang tinggi, jadi aman banget dibawa aktivitas outdoor.",Less than 1 week,Shopee,Hestooyy recommends this product!,5,Skinaqua UV Moisture Gel
nadinputrimawardi,19 - 24,"Normal, Medium Light, Cool",2024-06-08,Banyakk si temen ku yangg pakai inii katanyaa baguss tp sama si ini kalo kalo dimuka ku tuh kayaa pakai ss wardahh jadii perih gtuu setelah di apply trs ke kulit ku jd kayaa kusamm gituu makanya aku ga pake lagi pas tau ternyata sama cuma abisin stok aja,6 months - 1 year,Instagram,nadinputrimawardi recommends this product!,3,Skinaqua UV Moisture Gel
hanifahummu123,18 and Under,",18 and Under",2024-06-07,"menggunakan ini membuat kulit terasa halus dan terhindar dari sinar UV, membuat wajah terlihat cerah, tekstur yang ringan dan mudah sekali untuk di apply di wajah kita, mudah di temukan di e-commerce dengan harga yang sangat terjangkau.",3 months - 6 months,Shopee,hanifahummu123 recommends this product!,5,Skinaqua UV Moisture Gel
tiaradj,19 - 24,",19 - 24",2024-06-07,"Skin aqua sunscreen ini sih gila teksture nya enak bangettttt aromanya juga tidak menyengat langsung meresap gitu loh gila sih aku cocok banget harganya juga affordable banget gila sih aku udah 3 bulan ini pake ini, cocok banget komedo juga berkurang",1 week - 1 month,Shopee,tiaradj recommends this product!,5,Skinaqua UV Moisture Gel
wulandari0607,19 - 24,"Oily, Medium, Warm",2024-06-05,"salah satu suncreen dari jaman sma sampe kuliah semster 4 suka banget apalagi dia benr bener bikin kulit moist dan lembab, dikulit aku ngebantu banget ngeredain bruntusan. Aku udah repursce 10x pun ada karena saking senengnya dan aku lebih cocok yang tutupbijoo",More than 1 year,Tiktok Shop,wulandari0607 recommends this product!,5,Skinaqua UV Moisture Gel
wina1041,19 - 24,"Oily, Medium Dark, Neutral",2024-06-05,"Udah beberapa tahun ini pakai ss ini terus karena menurut aku ss ini nahan minyak sih dan cepet mudarin bekas jerawat,walaupun kalau lagi panas panasan agak jadi berminyak juga sih tapi gak pernah lagi ganti ganti ss karena udah ngerasa cocok",More than 1 year,Shopee,wina1041 recommends this product!,5,Skinaqua UV Moisture Gel
erikapm,25 - 29,"Combination, Medium Light, Neutral",2024-06-05,sebelumnya pakai yang moisture milk tutup putih. mukaku combi cenderung oily. pakai yg ini dia lebih cepet ngesetnya daripada yg moimilk. mungkin krn gel juga jadinya lebih cocok di mukaku. pengen coba varian lainnya jg,1 month - 3 months,Shopee,erikapm recommends this product!,5,Skinaqua UV Moisture Gel
feentee,30 - 34,",30 - 34",2024-06-05,"Udah repurchase produk ini entah berapa kali. Pernah coba yang tutup biru, tapi ternyata terlalu oily hasilnya di aku. Coba yang tutup putih, hasilnya kering banget di mukaku. Tapi untuk yg tutup tosca ini pas banget di kulitku yang kering.",More than 1 year,Shopee,feentee recommends this product!,4,Skinaqua UV Moisture Gel
zi_yao_lin,30 - 34,"Oily, Light, Neutral",2024-06-02,"Pertama kali dikenalin ini sama teman. So far paje cocok aja. Teksturnya agak watery karena gel dan warnanya putih cream gitu. Sejauh ini aman untuk kulit berjerawat cmn karena spf 25 dan gel-based, jadi kurang yakin dg keampuhan tabir suryanya. Btw, karena ini sekalian whitening and moisturizing, buat aku yg males skincare dg byk step, ini handy banget dan simple, kayak 2 in 1 langsung",More than 1 year,Hypermart,zi_yao_lin recommends this product!,5,Skinaqua UV Moisture Gel
denvy,35 - 39,"Dry, Light, Neutral",2024-06-01,"Sebelumnya langganan pake yg seri UV whitening milk. Sbnrnya itu bagus cuma krg nyatu sama skin tint sy. Nah skrg coba yg varian ini, kok bagus hasilnya pas ditimpa skin tint. Lbh nempel dan halus, gak patchy.",1 month - 3 months,Shopee,denvy recommends this product!,5,Skinaqua UV Moisture Gel
alyaramadhinaa,19 - 24,"Combination, Medium Light, Neutral",2024-05-20,"Packaging kecil jadi gampang dibawa pergi, teksturnya lembut dan aku sukaa banget sama finish dari skin aqua yang ini, walaupun ada whitecast tapi gabikin belang tetep bisa rata sama warna kulit. pernah dipake makeup dan bikin makeup makin nempel, I always repurchased it.",More than 1 year,Tokopedia,alyaramadhinaa recommends this product!,5,Skinaqua UV Moisture Gel
annisanubari,19 - 24,"Combination, Medium Light, Neutral",2024-05-18,"Seperti claimnya yang bilang kalo sunscreen ini diperuntukkan untuk oily skin, yak betul banget kayaknya emang betulan gitu. Karna untuk kulitku yang normal to dry skin dan biasa pake ss tanpa moist heey ini kenceng banget plis rasanya, perih, ketarik. Haa pokoknya kurang nyaman. Trus sekarang aku bingung mau ngabisinnya gimana :( tapi asli sih untuk pemilik oily skin ini bakal oke banget terlebih dia udah upgrade spfnya jadi 50",1 week - 1 month,Shopee,annisanubari recommends this product!,4,Skinaqua UV Moisture Gel
Mah,25 - 29,"Normal, Medium Light, Neutral",2024-05-13,"Sunscreen ini enak banget pas awal2 pemakaian selama 1 bulan, bikin lembab juga. Cocok buat skinprep bikin bedak nempel ga crack. Ak punya bekas jerawat yang lama jadi pudaarr. Tapi sayangnya lama2 malah ak pake bikin sumuk, terus juga muncul beruntusan kecil2. Jadi aku ga beli lagii.",1 month - 3 months,Shopee,Mah recommends this product!,3,Skinaqua UV Moisture Gel
cindyrv,19 - 24,"Normal, Medium Light, Neutral",2024-05-10,"Aku pke yg spf 50 menurutku sma aja teksturnya sma yg tutup putih , ada efek toneupnya dikit, klu keringetan luntur kena mata agak perih, affordable untuk ukuran sunscreen 40ml cmn 50an, nge blend nya jga gampang cepet meresap",1 month - 3 months,Shopee,cindyrv recommends this product!,5,Skinaqua UV Moisture Gel
Nauren,18 and Under,"Oily, Medium, Neutral",2024-05-05,"sunscreen yang sangat amat cocok buat oily skin karena texturenya yang gel jadi setelah pakai bikin kulit ngga jadi kilang minyak, ringan banget dipakenya kayak pake moisturizer doang, cocok banget buat dipake sehari hari karena ringan",1 month - 3 months,Shopee,Nauren recommends this product!,5,Skinaqua UV Moisture Gel
ferucabelatr,19 - 24,"Combination, Medium Dark, Warm",2024-05-04,"sunscreen favvv! dari tahun 2021 bener² gapernah ganti karna emang udah cocok bgt, baunya juga ga ganggu dan yg pasti dia nolong buat muka yg oily kaya akuu, tekstur nya juga watery bgt pokonya must tryyy! dan harganya juga worth it banget buat dibelii",More than 1 year,Alfamart,ferucabelatr recommends this product!,5,Skinaqua UV Moisture Gel
firaanrgy,18 and Under,"Combination, Medium, Neutral",2024-05-04,"sunscreen ini ringan banget trus gak lengket, kataku ini buat kulit kombinasi oke karna dia tuh gabikin yg tambah minyakan trus ngelembapin juga buat di pipi trus ngurangin bekas jerawat kalo kalian totol totol rajin trus klo mau reapply juga gampang gak bikin make up geser, overall enak banget dipake! muka baru bangun cuma pake sunscreen hehe",3 months - 6 months,Guardian,firaanrgy recommends this product!,5,Skinaqua UV Moisture Gel
natallina,19 - 24,"Oily, Medium, Neutral",2024-05-04,"bagus banget di oily skin, teksturnya enak cepet nyerep, ringan, warnanya ngga mengganggu sama sekali,. ngga buat muka makin berminyak juga. harganya juga affordable banget untuk seukiran sunscreen yg udah BPOM dan tersertifikas mantapi",Less than 1 week,Shopee,natallina recommends this product!,5,Skinaqua UV Moisture Gel
spaewrkle,19 - 24,"Combination, Medium, Neutral",2024-05-03,"Jadi Sunscreen Favorit akuuuu cocok banget buat kulitku yang combination to oily ini, aku pake kurleb udh 1 thn dan waktu beli agk ragu sebenernya karna pernah cobain tapi kurang terus ad tulisan new formula kan karna penasaran dan varian 1 lagi gak ada jadi beli aj deh. Dan unexpectedly bagus bangettt gak bikin berminyak & kusem, feelsnya ringan juga gak bikin perih & peeling. Pokonya Klean HRS Cobaiiin !!!",6 months - 1 year,Hypermart,spaewrkle recommends this product!,5,Skinaqua UV Moisture Gel
Windiwie217,35 - 39,"Combination, Medium Light, Warm",2024-05-01,"pdhl versi ni buat kulit oily,tpi bner2 fail buat q,ngresep lama,kilap'y juga parah n klo luntur agak pedih dimata,ga lebih baik dri 3 saudari'y yg udh nampol buat q😅😅,q pke'y klo pas dirumah aja,pernah d pke outdoor kilap'y ga nahan pdhl udh diset pke bedak,ttep d pke smpe abis tpi ga akan beli lagi.",1 week - 1 month,Shopee,Windiwie217 doesn't recommend this product!,3,Skinaqua UV Moisture Gel
sheren2203,30 - 34,"Combination, Light, Neutral",2024-04-22,"udahlah murah, ukuran tube nya nggak besar jadi gampang dikontrol dan nggak beluber kemana-mana, nggak ada white cast dan teksturnya juga enak, nggak lengket. selalu jadi produk andalan kalau mau dibawa travelling juga dengan ukuran compact",More than 1 year,Shopee,sheren2203 recommends this product!,5,Skinaqua UV Moisture Gel
natnatanwil,19 - 24,"Oily, Medium Light, Cool",2024-04-17,"aku pertama kali coba ini karena yg varian satunya lagi kosong, pertama agak takut sih, tapi ternyat bagus kokk, ga menimbulkan white cast dan cocok buat muka oily... sunscreen ini juga ga menimbulkan jerawat yaa jadi aman banget dipakai untuk yang kulitnya acne prone",1 month - 3 months,sociolla,natnatanwil recommends this product!,5,Skinaqua UV Moisture Gel
dillayas,19 - 24,"Oily, Medium Light, Neutral",2024-04-17,"Claimnya cocok buat oily skin, tapi ntah kenapa dia lebih berat kalau dibanding yang moisturise milk. Menurut aku teksturnya juga lebih lengket, ninggalin rasa gerah dan sayangnya bikin kulit makin berminyak",1 month - 3 months,Shopee,,3,Skinaqua UV Moisture Gel
sherlyoktaviaa,25 - 29,"Oily, Medium Light, Neutral",2024-04-14,"Iseng cobain ni produk ternyata oke banget si.. ga ada efek negatif di aku, teksturnya mudah d blend, ga yang cair2 amat, mirip2 gel tpi warna putih... waktu di apply pun cepet meresap dan ga lengket.. ga ada whitecast juga di aku.. udh d pake seharian dan ga bikin muka jadi kilang minyak, recommended sih product ini 👍🏻",1 month - 3 months,Watson,sherlyoktaviaa recommends this product!,5,Skinaqua UV Moisture Gel
DivaFadiyah,19 - 24,"Combination, Light, Cool",2024-04-13,"Cocok bgt buat dijadiin base makeup 🫶🏻 gabikin makeup crack sama sekali. Kulitku combi lebih ke oily dan gabikin kulitku jd kilang minyak terutama di T zone. Dia emang ada tone up-nya dikit diawal tp lama2 ngikut warna kulit, teksturnya liquid dan mudah diblend",1 week - 1 month,Dan+Dan,DivaFadiyah recommends this product!,5,Skinaqua UV Moisture Gel
enanan,18 and Under,"Normal, Medium Light, Neutral",2024-04-03,"teksturnya enakkkk,sekilas kayak yang tutup putih tapi engga,dia malah kayak yang tutup biru. dan menrut gua teksturnya bukan gel malah lebih cair gitu dan pas di blend emang kayak yang tutup biru rasanya,tapi yang tutup biru kan kayak ga nyerap terus gerah"" ya,kalo yang ini engga langsung nyerap dan ga bikin gerah.",Less than 1 week,Shopee,enanan recommends this product!,5,Skinaqua UV Moisture Gel
iraninorma,25 - 29,"Dry, Medium, Neutral",2024-03-29,"Salah satu produk skin aqua yang teksturnya gel but mot really gel karna lebih ke liquid menurutku, yg ini utk normal to oily skin tp aku pakai di normal to dry skin masih ok banget, lembabnya juga oke kayak variant lain, ada kesan lengketnya lebih dapet drpd variant lain tp masih ringan kok, spt biasa emg utk ss skin aqua di awal di akan terlihat tone up tp lama-lama hilang setelah diblend dan didiamkan sebentsr bgt loh gk lama jd menyatu sama kulit",1 month - 3 months,Female Daily Event,iraninorma recommends this product!,4,Skinaqua UV Moisture Gel
AdindaBL,25 - 29,"Normal, Medium Light, Neutral",2024-03-23,"skin aqua sunscreen gel ini sekarang sudah dengan spf 50, untuk kulit ku yang normal to oily sunscreen ini ga berat atau thick tapi tetap terasa ada lapisannya ya dan sunscreen ini tidak ada wanginya serta tidak perih saat di gunakan dan harganya cukup affordable",More than 1 year,Shopee,AdindaBL recommends this product!,5,Skinaqua UV Moisture Gel
Ryshyella_bernicke,19 - 24,"Combination, Medium Light, Neutral",2024-03-19,"Pertama kali pake sunscreen itu merk ini tapi yang SPF 50. Tapi setelah nyari tau trnyta yang kulit bruntusan atau berjerawat itu ga di rekomendasikan yang spf tinggi makanya jadi aku beralih ke yang spf 30 ini. Gapeenah ganti karna selama ga nimbulin breakout aku bakal terus re purchase hwehe. plusnya ini ga bikin breakout dan ya cukup ngelindungin dari sinar matahari, terus teksture nya cukup mudah meresap,no whitecast juga. Minusnya bikin berminyak,kusam,harus ditimpa loose powder kalo mau keluar rumah supaya ga kusam dan minyakan. Oke aja sih produknya.🌞💓",More than 1 year,Shopee,Ryshyella_bernicke recommends this product!,3,Skinaqua UV Moisture Gel
Indahseptianaep,25 - 29,"Oily, Medium, Warm",2024-03-11,"Sunscreen yang enak banget dipakai untuk daily, teksturnya thick tapu tidak lengket, ringan dan tidak ada whitecast. Jadi tidak ada tone up nya ya. Isinya banyak gak habis2 padahal packagingnya kecil dan juga affordable banget. Aku pakenya kalau memang beraktivitas didalam ruangan saja",1 month - 3 months,Shopee,Indahseptianaep recommends this product!,5,Skinaqua UV Moisture Gel
