username,date,review_content,purchase_point,recommend,rating,jenis_produk,trend,age_category,periode_penggunaan,skintype,skintone,undertone
1009hoonie,2024-11-01,"hi guys, aku mau rekomendasiin ss yg bagus buat acne prone nih. aku udah pake 1 tahun lebih dan hasilnya lumayan banget di aku, udah jarang jerawatan lagi alhamdulillah. 1 tube bisa sampe 1 bulan loh~",Shopee,1009hoonie recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,59,remaja,Jangka Panjang,Combination,Medium Light,Neutral
FitriKurniati,2024-11-01,"guys, aku mau rekomendasiin nih ke kalian, sunscreen yang udah lama bgt aku pake hehe, udah sampe 3 tube lebih, ini friendly banget buat yang acne face kayak aku, terus dia sekalian moisturizer juga jadi kalian dalam satu produk udah dapat 2 fungsi sekaligus !!",Shopee,FitriKurniati recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,59,dewasa muda,Jangka Menengah,Combination,Medium Light,Cool
twinkletoes0914,2024-11-01,"Sunscreen yang selalu aku pakai tiap hari, cocok untuk acne prone atau kulit sensitif kayak aku. Harganya juga terjangkau, ngga buat perih dimata dan cepat meresap ke kulit. Aku sering gunain sunscreen yang spfp35 pa +, recommended dari aku ya",Tiktok Shop,twinkletoes0914 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,59,dewasa muda,Jangka Panjang,Combination,Light,Cool
yunnikeee,2024-11-01,serum vit c ga cocok di aku tapi malah cocok pake sunscreen yg ada vit c nyaa👏🏻👏🏻 kalo mau pake ini harus siap” punya wajah lebih cerah soalnya vit c nya kayak bikin tone up gitu diwajah cuma masih aman kokk dan produk ini juga gampang meresap jadi enak dipakenya,Shopee,yunnikeee recommends this product!,4,Azarine Hydramax C Sunscreen Serum,59,dewasa muda,Jangka Pendek,Oily,Medium Light,Neutral
yulianggrns,2024-11-01,"sunscreen murah tapi bagus, ngga bikin whitecast, cepet menyerap super satset dan bisa dibeli di offline/online store, sering promo juga🤩 repurchase banyak bgt krn cocok dan bagus dipake under makeup trs ngga bikin peeling pokoknya jd my go-to sunscreen🤩🫰🏻",Shopee,yulianggrns recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,59,dewasa muda,Jangka Pendek,Combination,Medium Light,Warm
Rosafitrie,2024-11-01,"enggak bikin kulit lengket dan ga berbau harganya murah bisa ditemukan dimana aja, produknya jugak udh ada yg besar sehingga lebih awet dalam penggunaan sunscreennya, promo yg ditawarkan jugak besar diskonnya dan ga buat kulit jerawatan",Shopee,Rosafitrie recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,59,dewasa muda,Jangka Menengah,Oily,Medium,Neutral
tetalicu,2024-10-31,"udah beberapa kali nyobain sunscreen merk lain tapi selalu balik lagi ke azarine ini,karna tekstur nya gel,lembut,tidak bau alkohol,dipake ke muka juga enak ga lengket pokoknya bagus banget deh aku suka banget sm produk sunscreen ini hehe",Shopee,tetalicu recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,43,remaja,Jangka Panjang,Combination,Medium,Neutral
ade_anggi,2024-10-31,"Sunscreen kecintaan akuu.. Gak bikin muka jdi abu-abu. Ada kali udh 10 tube ngabisinnya. Teksturnya ringan, gak lengket dan ceoet bgt menyerap di kulit. Blm kepikiran buat pindah ke ss yg lain. Mungkin nanti kalo udh bosen baru deh pindah",Shopee,ade_anggi recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,43,dewasa muda,Jangka Panjang,Oily,Medium,Warm
letsbinuuu,2024-10-29,"Salah satu sunscreen yang wajib dicoba buat para oily and acne prone skin dan gampang keringetan kaya aku, dia gampang banget menyerap kaya gak pake apa apa dan oil controlnya juara.Dipake sebagai skinprep pun dia gak ngerusak makeup, karna dia itu hasilnya matte semisal kalian mau makeupnya agak dewy kalian bisa pake serum or moist yang agak thick terus dipakein ss ini bagus banget karna oil controlnyaintinya ini worth to try for oily skin",Sociolla,letsbinuuu recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,65,dewasa muda,Jangka Menengah,Oily,Medium Light,Cool
yasmin_shabira,2024-10-29,"Tksturnya bagus,tapi cepet oksidasi sih jadi agak gelapan mukaku,luamayan bikin cerah,tapi spf nya gak tau nih soalnya kena matahari tetep kerasa panasnya gitu,gak lengket sih,cepet nyerap juga,wanginya aku lumayan suka,terus dia tu watery jdi cepet ngeresap",Tiktok Shop,yasmin_shabira recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,65,dewasa muda,Jangka Pendek,Combination,Medium Dark,Neutral
febry_ananda,2024-10-29,tekstur sunscreennya tuh bagus karena gampang di blend dan cepat nyerap di kulit terus ga perih di mata dan ringan di kulit tapiii sayangnya di muka aku tetap keliatan kusam padahal glowingnya bagus sih. kalo dari segi harga sih worth it banget,Shopee,febry_ananda recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,65,dewasa muda,Jangka Menengah,Dry,Medium Dark,Neutral
ndyumna,2024-10-25,"Di aku enak banget, teksturnya ringan dan melembabkan kulit, jadi berasa fresh kalo habis pake sunscreen. Lumayan cepat meresap dan nggak ada white cast juga. Dipake di bawah make up pun aman, ga bikin make up geser.",Lazada,ndyumna recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,63,dewasa muda,Jangka Pendek,Dry,Medium Light,Cool
Nuzhiladwislma,2024-10-25,"Sebenernya kalo cocok ini enak sih dipakai soalnya teksturnya gel dan ringan banget. Gampang untuk apply dan mudah menyerap. Tapi di kulit aku ini gak cocok, dalam satu hari dia udah menimbulkan beruntusan di jidat aku",Shopee,Nuzhiladwislma doesn't recommend this product!,3,Azarine Hydrashoote Sunscreen Gel,63,dewasa muda,Jangka Pendek,Combination,Medium,Neutral
Ekadyahkurnawatiii,2024-10-18,"Sumpah ini produk Bagus bangeeett😍😍 afternya gak bikin muka kusam samsek, gak bikin berminyak juga🥰🥰 meskipun udah 8 jam aku pake (didalam ruangan) tapi mukaku gak ada keliatan berminyak sama sekali.",Shopee,Ekadyahkurnawatiii recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,51,dewasa muda,Jangka Pendek,Combination,Medium,Neutral
nasywahfajri,2024-10-18,"dari sekian banyak koleksi suncreen azarine gua, ini yangpaling banyak sih, di pakai ringan poll, ada dingin dingin gitu, di pakai di daerah mata sama sekali ngga perih, sunscreen azarine selama ini kalo gua pakai di daerah mata emang ngga pada perih sih, lembab di gua. recommend? yapss, gua pakai ini pas di sore hari aja kalo gua ada mau keluar, kalo pagi pakai yang spf 45 karena apa? gua lagi belang parah, jadi proteksi nya kureng di gua, tapi tetep bagus dan gaada keluhan apapun kok. cuss beli sayang",Instagram,nasywahfajri recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,51,remaja,Jangka Panjang,Combination,Medium,Neutral
nasywahfajri,2024-10-18,"untuk suncreen azarine satu ini, jujur ngga cocok di kulit gua, gatau kenapa. gua bahkan pernah hampir kebayang sama produk ini sampe berhari-hari, eh malah ga cocok. gua berharap banget sama kandungan vit c nya, tapi syaang di gua ga berjodoh:( apalagi pas pulangsekolah terus deoble cleansing kan, sumpah kotor nya tuh banget pokoknya beda sama suncreen azarine varian lain, pake ini juga malah ada jerawat, sayang sekali ngga jodoh ya haha, tapi selama pemakaian ngga ngerasa berat walaupun spf 50, tapi ya gitu lah, bikin kusam juga. pokoknya ga cocok deh, sorry azarine",Instagram,nasywahfajri doesn't recommend this product!,2,Azarine Hydramax C Sunscreen Serum,51,remaja,Jangka Menengah,Combination,Medium,Neutral
Erkisadita,2024-10-18,"Bikin kulitwajahku jadi lebih berminyak, dan dikulit ku malah jadi item mungkin gak cocok kali yaa dikulit wajah ku. Tapi teksturnya cukup ringan berasa kayak gak pake sunscreen tp yg untuk harga affordable sih untuk pelajar. Balik lagi tergantungjenis kulitwajah masing-masing",Indomaret,Erkisadita recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,51,dewasa muda,Jangka Pendek,Combination,Medium Light,Neutral
nasywahfajri,2024-10-18,"sunscreen kesayangan gua, kecintaan gua🫰🫰 gua beneran cinta banget, apalagi sama yang hijo ini, finish nya muantep di kulit gua, lembab? yappss, ketarik? ngga juga, blend nya guampang, tapi emang kalo sunscreen nya udah menyerap terus mau di timpa lagi, harus butuh kesabaran untuk blend nya, hasil mate finish, bagi yang punya oily skin, mantep pakai sunscreen ini. sudah ssegituaja,recommend? yapps, untuk kulit kombinasi masih cocok, lihat aja lah se berapa banyaknya koleksi azarine yang gua punya, ini belum seberapa😞😞🫵 gua tipe nya paling muales kalo suncreen dah di titik penghabisan, harus effort mencet bahkan gunting, makanya jadi numpuk, mungkin ada yang udah habis tapi gua belum cek, pas itu pernah hampir lebih dari 5 paling hampir 10 kayaknya numpuk ni sunscreen, gatau udah berapa kali gua repurche anjir, awal-awal mau cari sunscreen langsung pakai azarine yaudah cocok deh sampai sekarang, pantess sih di bikin versi guede, karena worth it selama pakai ini gaada masalah yang apa banget sih",Instagram,nasywahfajri recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,51,remaja,Jangka Panjang,Combination,Medium,Neutral
ester26yuni,2024-10-17,"Sunscreen nya bagus, cocok di kulitku, di oleskan di daerah mata engga buat perih, ga buat breakout, harganya juga terjangkau, dan bisa di temukan di mana-mana kalau lagi habis sunscreen nya. Ga buat sumuk di muka, bisa di pakai buat sehari-hari, ga buat bedak geser si, okelah",Guardian,ester26yuni recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,74,dewasa muda,Jangka Pendek,Combination,Medium,Neutral
ikamarthia,2024-10-17,"suka banget sama teksturnya yang ringan, mudah meresap, dan tidak lengket. gak whitecast juga dan aman banget ditimpa makeup, alias gak peeling. harganya juga affordable. ada size 30 ml, 50ml, dan 100 ml. jadi bisa pilih semua kebutuhan.",PR Package,ikamarthia recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,74,dewasa matang,Jangka Menengah,Oily,Medium Light,Neutral
grateful01,2024-10-15,Alhamdulillaah cocok sekali sama sunscreen ini. Sebenarnya lebih murah sunscreen I*plor* tetapi yang ini nggak perih di mataku dan sejauh ini nggak menyebabkan breakout. Sampe sekarang harapan ku ke sunscreen itu nggak muluk2 cukup cocok dan tidak bikin breakout serta masuk sama budgetku udah seneng banget Alhamdulillah.,Shopee,grateful01 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,59,dewasa matang,Jangka Menengah,Dry,Medium Dark,Neutral
najla,2024-10-15,"Tekstur sunscreen ini gell enak gampang ngeresap, tapi kadang suka peeling gitu sama feels nya tuh kadang ke muka kaya kenceng gitu. Tapi so far bagus terjangkau ada di offline store kaya supermarket dan murah juga. Enak juga buat di reapplynya",Shopee,najla recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,59,remaja,Jangka Menengah,Oily,Medium Dark,Warm
elanisarast,2024-10-11,"Kok bisa-bisanya aku ternyata belum review sunscreen andalanku ini? Saking perfectnya, aku ga tau mau ngomong dari mana. Mukaku yang udah kayak kilang minyak, pas tiap pagi pakai ini, seharian jadi minim (kecuali di bagian hidung karena emang udah nggak tertolong kayaknya). Dia bisa bangettt ngontrol minyak berlebih padahal nggak aku timpa pakai mineral powder translucent (apalagi kalau pakai, yang dari innisfree, behhh best combo!). Yang aku suka, dia ada sensasi dingin yang bukan nyelekit atau minty gitu, tapi kayak segerrr aja macam kena air di cuaca hujan. Apaan ya kurangnya (?) sampai bingung. SPFnya menurutku pas bgt buat di rumah doangan (berhubung rumahku ada beberapa skylight jadi perlu proteksi juga buat berkeliaran di dalam, tapi ga butuh yang too much). Tutupnya juga bukan yang putar, alias tinggal buka sat set pakai *aku benci muter2in wkwk. Mungkin kurangnya di mulut botolnya yang besar kali ya? Aku jadi ga bisa ukur 2 ruas jari. Tapi aku pakai pun secukupnya aja sih (bandel emang) kecuali kalau buat ke luar *ini pun pasti pakai yang versi spf 50.",Shopee,elanisarast recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,47,dewasa muda,Jangka Panjang,Oily,Medium Light,Warm
Deasisil,2024-10-08,"Repurchase kesekian yg varian ini, ternyata enak juga buat kulit oily, cepet meresap, aroma seger enak, ga bikin berminyak, berasa moisturized juga. Harga affordable, cuma emang isinya dikit aja sih buat aku jadi kesal dikit-dikit beli wk",Shopee,Deasisil recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,82,dewasa muda,Jangka Pendek,Oily,Medium,Warm
bimbooo,2024-10-08,"Bagus sekalii🫶🏻 Aku udah repurchase beberapa kali dan ini sunscreen paling nampol ngaruh tapi ga bikin sensitive/komedoann. Ringan bgtt langsung nyerep tapi ga kering wajahnya, cocok buat segala jenis kulit. Udah coba 3 varian berbeda tetep sama bagusnya gaada yg bikin iritasi atau demek gitu mukanya",Shopee,bimbooo recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,82,dewasa muda,Jangka Panjang,Normal,Medium,Neutral
Asterisiriusis,2024-10-08,Menggunakan sunscreen jadi lebih menyenangkan dgn Azarine. Cocok untuk kulitku yg normal to oily. Kalo ditimpa make up juga aman ga bikin longsor. Harganya terjangkau worth it dgn kualitas dan isinya. Teksturnya mudah diratakan dan cepat menyerap.,Shopee,Asterisiriusis recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,82,dewasa muda,Jangka Panjang,Oily,Medium,Neutral
pitalokadanisa,2024-10-05,Salah satu suncreen yang cocok banget untuk kulit wajah yang berjerawat dan oily skin... Udah sering pakai azarine sunscreen yang satu ini.. dan cocok banget sama kulit wajah aku yang oily skin dan berjerawat,Official Brand Store,pitalokadanisa recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,78,dewasa matang,Jangka Pendek,Oily,Medium,Neutral
lanyeu,2024-10-05,"Udah dari lama pake hidramax c sunscreen dari azarine. Sesuka itu, karena cepet kering dan gak bikin whitecast. type kulitku juga normal to dry, jadi pas banget kalo pake sunscreen ini. nyaman banget buat dipake sehari-hari tuh",Shopee,lanyeu recommends this product!,5,Azarine Hydramax C Sunscreen Serum,78,dewasa muda,Jangka Menengah,Normal,Medium Dark,Neutral
akirahana,2024-10-05,"Aku punya kulit normal-oily, sunscreen ini masih oke dengan kulitku, aku sering berada di outdoor, tapi aku juga reaply sunscreen nya, Tekstur nya dingin terus ringan, mudah di serap, tidak meninggalkan whitecast di kulitku. Harga masih terjangkau dan varian produknya banyak",Traditional Market,akirahana recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,78,dewasa muda,Jangka Menengah,Normal,Medium Light,Neutral
frlyyraaa,2024-10-04,"ini baguss banget! sunscreen nya ga ada whitecast, gampang menyerap juga, soalnya tekstur dari sunscreen nya itu gel. harus reapply tiap 2-3 jam soalnya cuma 35spf, overall ini recommended to use. tipekul aku normal to oily anyway.",Shopee,frlyyraaa recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,66,dewasa muda,Jangka Menengah,Normal,Medium Dark,Neutral
hadinaw,2024-10-04,"Mudah didapet di minimarket umum, tapi aku lebih sering dapet di A*** daripada I********. Ringan dan gak mengiritasi, aku lupa sudah setahun atau belum pakai ss ini. Enak ga ada whitecast dan gak memberatkan di wajah, cepat meresap. Untuk pemakaian sehari-hari, mampu melindungi wajahku agar gak terbakar dan gosong, tapi mungkin kalo pergi ke tempat yang panasnya ekstrem, perlu apply sunscreen yang lebih thick.",Alfamart,hadinaw recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,66,dewasa muda,Jangka Menengah,Combination,Medium Light,Warm
Sherina23,2024-10-04,Tekstur Sunscreen ringan banget di wajah aku dan ga buat efek berminyak dan gak whitecasePokoknya best banget dehh Dah harga sangat terjangkau banget buat gak buat kantong boncos Isi juga lumayan banyak Muantep poll deh sunscreen azarine di aku,Shopee,Sherina23 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,66,dewasa muda,Jangka Menengah,Oily,Medium,Neutral
luthfiahhanum,2024-09-30,"BEST SUNSCREEN EVER for OILY SKIN. Gampang nyerap, finishnya matte 💯, non comedogenic, no white cast, dan pastinya kantong pelajar friendlyyy.Repurchase this one for 1000× times ga bosen2 dan akan terus repurchase karena bagus bgt bgt. 💕Kalau dikirimin ini se-truk juga ga akan nolak weh 🤍😭🤍😭🤍😭",Shopee,luthfiahhanum recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,47,dewasa muda,Jangka Panjang,Oily,Medium,Neutral
dindaanra_,2024-09-29,"pake sunscreenini rasanya enak bgttt kek langsung nyerep dikulit yang berminyak, gak bikin whitecast, kandunganya juga mantep bgt kaya centella asiatica buat calming, terus ada salicylicacid buat jerawat, pokoknya suka bgt sama prodak inj knp gak dari dulu coba azarine 😭😭",Shopee,dindaanra_ recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,61,dewasa muda,Jangka Pendek,Combination,Medium,Warm
alfimanzila,2024-09-29,Sekarang beralih sunscreen azarine yang ini.....dulu pakai yang spf 45...sekarang aku turunin....lumayan ada hasil sill....basic skincare tiap hari jerawat lumayan memudar...cuma tekstunya yang pas banget buwa kulit oily jadinya mudah nyerep,Shopee,alfimanzila recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer,61,dewasa muda,Jangka Pendek,Oily,Dark,Warm
astiwidy,2024-09-29,"bagus banget, no white case, engga bikin bruntusan dan jerawat loh, suka banget pakenya, buat kulit oily juga baguss, harganya murah juga, sangat rekomended, worth to buy guys!! engga berat juga, super ringannnn, udah repuschase beberapa kali",Shopee,astiwidy recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,61,dewasa muda,Jangka Panjang,Oily,Medium,Neutral
nadhifa_15,2024-09-29,"teksturnya enak bngtt ga adaa whitecast nya dipake juga nyaman, bisa digunakan untuk daily cocok bngt buat yg kulitnya sensitif, mnrtku dia juga cocok buat wajah jerawatan, dipake juga ga berat. buat anak sekolah yang bingung cari sunscreen ini rekomended",Tiktok,nadhifa_15 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,61,dewasa muda,Jangka Pendek,Combination,Medium Dark,Neutral
osamars,2024-09-29,"basic skincare paling dibutuhin, baik untuk kegiatan dalam ruangan (indoor) maupun luar ruangan (outdoor), tekstur gel jadi enak banget buat dipake, tanpa whitecast! sunscreen udah jadi kebutuhan harian sih, apalagi sunscreen azarine ini sangat recomend to try!",Shopee,osamars recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,61,dewasa muda,Jangka Pendek,Normal,Medium Light,Neutral
Jusmalia,2024-09-28,"Udah masuk tube 2 apa 3 gt untuk sunscreen ini. Azarine aku masih juara sih utk tekstur dan kenyamanannya. Teksturnya gel creamnya cepet meresap tapi bikin kulit masih berasa lembab dan yg penting jg berasa soothing dan calming wajah. Nyaman banget dipakenya sih intinya, lembut banget, tanpa parfum dan kalo lagi ada jerawat berasa aman pake sunscreen ini. Love it!",Guardian,Jusmalia recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,51,dewasa matang,Jangka Menengah,Combination,Light,Warm
alfiard_,2024-09-28,"pake sunscreen tapi berasa ga pake sangking ringannya😭sunscreen azarin calm mu acne spf 35 ini type chemical sunscreen, ingredientsnya ada bakuchiol dan pionin yang bisa calm acne dan redness, sunscreen ini juga 0% alcohol dan fragrance",Shopee,alfiard_ recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,51,dewasa muda,Jangka Pendek,Combination,Medium Light,Cool
sakinatunnisa,2024-09-28,"Aku cocok pakai sunscreen calm my acne. Ngga wait case, aku risih soalnya kalau pakai sunscreen yang wait case. Ringan di kulit wajah, gampang di pakai dan mudah dibawa ke mana-mana. Harganya juga terjangkau. Ngga bikin makin jerawatan. Aman untuk kulit remaja",Brand Website,sakinatunnisa recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,51,dewasa muda,Jangka Pendek,Combination,Medium Light,Neutral
chvvr_,2024-09-28,"Dapet rekomendasi sunscreen keren ini dari oomf, Auryn. Penyelamat banget dari sunscreen yang sebelumnya bikin kulit aku breakout. This is best of the best sunscreen who had adorable prices and really suits kantong pelajar seperti kita-kita ini. No whitecast, lembab sekali, wangi, murce, gak bikin makeup luntur, cocok buat oily skin, dan gak bikin muka aku gosong. Menurutku ss azarine gaada kekurangan so far aku menggunakan ini dari masa sekolah sampai kuliah :0",Tokopedia,chvvr_ recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,51,dewasa muda,Jangka Menengah,Combination,Medium Dark,Neutral
Jannifer0201,2024-09-28,Pakai dan rasakan manfaaat dariAzarine cosmetic hydrasoothe suncreen gel spf 45+++Dipakai sehari hari dan aman untuk kulit sensitif tidak lengket dan lembut saat digunakanYuk coba pakai Azarine cosmetic hydrasoothe suncreen gel spf 45+++,Shopee,Jannifer0201 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,51,dewasa muda,Jangka Pendek,Combination,Medium Light,Warm
iniakucaca,2024-09-27,"SPF 50 memberikan perlindungan yang memadai untuk aktivitas luar ruangan. Tekstur gelnya bagus gampang nyerap.aku remonedasiin buat temen temen yang mau cari sunscreen. produknya oke banget. Tidak meninggalkan rasa lengket di kulit, sehingga cocok untuk semua jenis kulit.",Shopee,iniakucaca recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,76,dewasa muda,Jangka Menengah,Oily,Light,Warm
Lixx,2024-09-27,"Ringan banget!! Terus gampang di blend juga, ga bikin keset sama ga bikin lengket. Gampang banget dicari produknya, kalau habis restocknya cepet pake banget banget. Affordable sangat! Salah satu sunscreen paling worth dengan spf tinggi!",Shopee,Lixx recommends this product!,5,Azarine Hydramax C Sunscreen Serum,76,dewasa muda,Jangka Panjang,Combination,Medium Dark,Neutral
abiabigail,2024-09-27,"Azarine sunscreen yang aki butuhkan untuk kulit sensitive ku, melindungi dari sinar matahari ketika ada di outdoor, bikin gak was was ketika sudah di luar ruangan, dan produk ini sudah aku pake setahun",Shopee,abiabigail recommends this product!,5,Azarine Hydramax C Sunscreen Serum,76,dewasa matang,Jangka Menengah,Combination,Medium Light,Neutral
Qiess,2024-09-27,"Berdasarkan rekomendasi dari temen2 ku untuk gunain sunscreen ini. Dari segi tekstur sangat ringan, no whitecast, agak sedikit kental (tidak watery). Harga sangat sesuai dengan kualitas. Tapi sayangnya di kulitku yang combination (oily dan dry) itu gak cocok :(.",Shopee,Qiess recommends this product!,3,Azarine Hydrashoote Sunscreen Gel,76,dewasa muda,Jangka Pendek,Normal,Light,Cool
radiinkh,2024-09-27,buat oily and combi skin kaya aku udah nyoba berbagai sunscreen tetep inisih yg paling oke di kulit karna texturenya jg RINGAN dan gampang nyerap🤩👍🏻 spf 45 juga aslinya lebih tapi tetep ga bikin muka kusemmm thats why kalian harus coba sihhhhh,Female Daily Event,radiinkh recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,76,dewasa muda,Jangka Menengah,Oily,Medium Light,Neutral
thiis_10,2024-09-26,"Cocok buat pemula yang baru terjun ke dunia skincare! Ini termasuk produk fav ku di azarine.💗. Rasanya ringan di wajah dan ga bikin jerawatan. Apalagi yang sedang jerawatan, jangan takut buat coba karena ini ga bikin perih saat pemakaian. Bisa juga melembabkan wajah apalagi kalau kulitmu kering. Rekomend deh buat kamu yang suka berdiam di ruangan atau saat sedang sekolah.",Lazada,thiis_10 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,39,remaja,Jangka Menengah,Dry,Medium,Neutral
