username,age,profile_description,date,review_content,usage_period,purchase_point,recommend,rating_count,jenis_produk
yaanti,19 - 24,",19 - 24",2024-10-25,"Produknya menurut ku so so aja ga buat efek buruk tp ga ngasih efek yg gimana gimana juga, tidak terlalu bisa buat nenangin jerawat tp ya okelah karna ga nimbulin efek negatif juga, kalo dipakai tanpa di timpa bedak apapun menurut aku si buat kusam tp kalo di timpa pakai bedak bagus dan ga peeling.",More than 1 year,Boots,yaanti recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
Ekadyahkurnawatiii,19 - 24,"Combination, Medium, Neutral",2024-10-18,"Sumpah ini produk Bagus bangeeett😍😍 afternya gak bikin muka kusam samsek, gak bikin berminyak juga🥰🥰 meskipun udah 8 jam aku pake (didalam ruangan) tapi mukaku gak ada keliatan berminyak sama sekali.",1 week - 1 month,Shopee,Ekadyahkurnawatiii recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
nasywahfajri,18 and Under,"Combination, Medium, Neutral",2024-10-18,"dari sekian banyak koleksi suncreen azarine gua, ini yangpaling banyak sih, di pakai ringan poll, ada dingin dingin gitu, di pakai di daerah mata sama sekali ngga perih, sunscreen azarine selama ini kalo gua pakai di daerah mata emang ngga pada perih sih, lembab di gua. recommend? yapss, gua pakai ini pas di sore hari aja kalo gua ada mau keluar, kalo pagi pakai yang spf 45 karena apa? gua lagi belang parah, jadi proteksi nya kureng di gua, tapi tetep bagus dan gaada keluhan apapun kok. cuss beli sayang",More than 1 year,Instagram,nasywahfajri recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
ester26yuni,19 - 24,"Combination, Medium, Neutral",2024-10-17,"Sunscreen nya bagus, cocok di kulitku, di oleskan di daerah mata engga buat perih, ga buat breakout, harganya juga terjangkau, dan bisa di temukan di mana-mana kalau lagi habis sunscreen nya. Ga buat sumuk di muka, bisa di pakai buat sehari-hari, ga buat bedak geser si, okelah",1 month - 3 months,Guardian,ester26yuni recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
grateful01,30 - 34,"Dry, Medium Dark, Neutral",2024-10-15,Alhamdulillaah cocok sekali sama sunscreen ini. Sebenarnya lebih murah sunscreen I*plor* tetapi yang ini nggak perih di mataku dan sejauh ini nggak menyebabkan breakout. Sampe sekarang harapan ku ke sunscreen itu nggak muluk2 cukup cocok dan tidak bikin breakout serta masuk sama budgetku udah seneng banget Alhamdulillah.,6 months - 1 year,Shopee,grateful01 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
elanisarast,25 - 29,"Oily, Medium Light, Warm",2024-10-11,"Kok bisa-bisanya aku ternyata belum review sunscreen andalanku ini? Saking perfectnya, aku ga tau mau ngomong dari mana. Mukaku yang udah kayak kilang minyak, pas tiap pagi pakai ini, seharian jadi minim (kecuali di bagian hidung karena emang udah nggak tertolong kayaknya). Dia bisa bangettt ngontrol minyak berlebih padahal nggak aku timpa pakai mineral powder translucent (apalagi kalau pakai, yang dari innisfree, behhh best combo!). Yang aku suka, dia ada sensasi dingin yang bukan nyelekit atau minty gitu, tapi kayak segerrr aja macam kena air di cuaca hujan. Apaan ya kurangnya (?) sampai bingung. SPFnya menurutku pas bgt buat di rumah doangan (berhubung rumahku ada beberapa skylight jadi perlu proteksi juga buat berkeliaran di dalam, tapi ga butuh yang too much). Tutupnya juga bukan yang putar, alias tinggal buka sat set pakai *aku benci muter2in wkwk. Mungkin kurangnya di mulut botolnya yang besar kali ya? Aku jadi ga bisa ukur 2 ruas jari. Tapi aku pakai pun secukupnya aja sih (bandel emang) kecuali kalau buat ke luar *ini pun pasti pakai yang versi spf 50.",More than 1 year,Shopee,elanisarast recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Deasisil,25 - 29,"Oily, Medium, Warm",2024-10-08,"Repurchase kesekian yg varian ini, ternyata enak juga buat kulit oily, cepet meresap, aroma seger enak, ga bikin berminyak, berasa moisturized juga. Harga affordable, cuma emang isinya dikit aja sih buat aku jadi kesal dikit-dikit beli wk",1 month - 3 months,Shopee,Deasisil recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
pitalokadanisa,30 - 34,"Oily, Medium, Neutral",2024-10-05,Salah satu suncreen yang cocok banget untuk kulit wajah yang berjerawat dan oily skin... Udah sering pakai azarine sunscreen yang satu ini.. dan cocok banget sama kulit wajah aku yang oily skin dan berjerawat,1 week - 1 month,Official Brand Store,pitalokadanisa recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
frlyyraaa,19 - 24,"Normal, Medium Dark, Neutral",2024-10-04,"ini baguss banget! sunscreen nya ga ada whitecast, gampang menyerap juga, soalnya tekstur dari sunscreen nya itu gel. harus reapply tiap 2-3 jam soalnya cuma 35spf, overall ini recommended to use. tipekul aku normal to oily anyway.",6 months - 1 year,Shopee,frlyyraaa recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
luthfiahhanum,19 - 24,"Oily, Medium, Neutral",2024-09-30,"BEST SUNSCREEN EVER for OILY SKIN. Gampang nyerap, finishnya matte 💯, non comedogenic, no white cast, dan pastinya kantong pelajar friendlyyy.Repurchase this one for 1000× times ga bosen2 dan akan terus repurchase karena bagus bgt bgt. 💕Kalau dikirimin ini se-truk juga ga akan nolak weh 🤍😭🤍😭🤍😭",More than 1 year,Shopee,luthfiahhanum recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
dindaanra_,19 - 24,"Combination, Medium, Warm",2024-09-29,"pake sunscreenini rasanya enak bgttt kek langsung nyerep dikulit yang berminyak, gak bikin whitecast, kandunganya juga mantep bgt kaya centella asiatica buat calming, terus ada salicylicacid buat jerawat, pokoknya suka bgt sama prodak inj knp gak dari dulu coba azarine 😭😭",1 month - 3 months,Shopee,dindaanra_ recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
alfimanzila,25 - 29,"Oily, Dark, Warm",2024-09-29,Sekarang beralih sunscreen azarine yang ini.....dulu pakai yang spf 45...sekarang aku turunin....lumayan ada hasil sill....basic skincare tiap hari jerawat lumayan memudar...cuma tekstunya yang pas banget buwa kulit oily jadinya mudah nyerep,1 month - 3 months,Shopee,alfimanzila recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
astiwidy,25 - 29,"Oily, Medium, Neutral",2024-09-29,"bagus banget, no white case, engga bikin bruntusan dan jerawat loh, suka banget pakenya, buat kulit oily juga baguss, harganya murah juga, sangat rekomended, worth to buy guys!! engga berat juga, super ringannnn, udah repuschase beberapa kali",More than 1 year,Shopee,astiwidy recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Jusmalia,30 - 34,"Combination, Light, Warm",2024-09-28,"Udah masuk tube 2 apa 3 gt untuk sunscreen ini. Azarine aku masih juara sih utk tekstur dan kenyamanannya. Teksturnya gel creamnya cepet meresap tapi bikin kulit masih berasa lembab dan yg penting jg berasa soothing dan calming wajah. Nyaman banget dipakenya sih intinya, lembut banget, tanpa parfum dan kalo lagi ada jerawat berasa aman pake sunscreen ini. Love it!",3 months - 6 months,Guardian,Jusmalia recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
alfiard_,19 - 24,"Combination, Medium Light, Cool",2024-09-28,"pake sunscreen tapi berasa ga pake sangking ringannya😭sunscreen azarin calm mu acne spf 35 ini type chemical sunscreen, ingredientsnya ada bakuchiol dan pionin yang bisa calm acne dan redness, sunscreen ini juga 0% alcohol dan fragrance",1 month - 3 months,Shopee,alfiard_ recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
sakinatunnisa,19 - 24,"Combination, Medium Light, Neutral",2024-09-28,"Aku cocok pakai sunscreen calm my acne. Ngga wait case, aku risih soalnya kalau pakai sunscreen yang wait case. Ringan di kulit wajah, gampang di pakai dan mudah dibawa ke mana-mana. Harganya juga terjangkau. Ngga bikin makin jerawatan. Aman untuk kulit remaja",1 week - 1 month,Brand Website,sakinatunnisa recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
iniakucaca,19 - 24,"Oily, Light, Warm",2024-09-27,"SPF 50 memberikan perlindungan yang memadai untuk aktivitas luar ruangan. Tekstur gelnya bagus gampang nyerap.aku remonedasiin buat temen temen yang mau cari sunscreen. produknya oke banget. Tidak meninggalkan rasa lengket di kulit, sehingga cocok untuk semua jenis kulit.",3 months - 6 months,Shopee,iniakucaca recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
thiis_10,18 and Under,"Dry, Medium, Neutral",2024-09-26,"Cocok buat pemula yang baru terjun ke dunia skincare! Ini termasuk produk fav ku di azarine.💗. Rasanya ringan di wajah dan ga bikin jerawatan. Apalagi yang sedang jerawatan, jangan takut buat coba karena ini ga bikin perih saat pemakaian. Bisa juga melembabkan wajah apalagi kalau kulitmu kering. Rekomend deh buat kamu yang suka berdiam di ruangan atau saat sedang sekolah.",3 months - 6 months,Lazada,thiis_10 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
almiraa,19 - 24,"Combination, Medium Light, Neutral",2024-09-26,"satu satunya sunscreen yang cocok banget dan ga bikin minyakan di wajah aku yang super duper susah banget nyari sunscreen yang cocok, dia lightweight gampang banget di blend dan cepet nyerep juga, minusnya kadang suka bikin kering dan ketarik, tapi overall baguss",More than 1 year,Shopee,almiraa recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
diyandita,18 and Under,"Oily, Medium Light, Neutral",2024-09-25,"Jujur, ini salah satu SS legend menurut aku, dulu pakai yg Hydra Shoote skrg pakai yg Calm Acne.Enak texture nya ringan BGT ga bikin closed comedo juga guys!💗Gatau udah tube ke berapa, gabisa berpaling ke SS lain kalau buat daily use",More than 1 year,Shopee,diyandita recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
cdnz,18 and Under,"Combination, Medium Light, Neutral",2024-09-25,"Sunscreen ini oil control nya oke, teksturnya ringan ga bikin gerah. Beneran berasa kaya ga pake apa-apa. Minusnya, kalau aku pake 1 jari full atau agak tebel gitu lumayan lama nyerepnya, but it's okay biasanya aku kipas-kipas biar cepet nyerep. Overall, aku suka banget sama sunscreen ini, karena ga bikin muka aku berminyak.",1 week - 1 month,Guardian,cdnz recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
hann_ad,19 - 24,"Dry, Medium Light, Warm",2024-09-25,"Tidak menimbulkan jerawat selamat pemakaian.. ada kandungan bakuchiol tapi gak greasyEfek melembabkan sangat ada, bisa dipakai sebagai moisturizer…Sunscreen Cepat meresap ke kulit,,, biarpun dipakai setelah berlayer-layer skincare",1 month - 3 months,Official Brand Store,hann_ad recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
starbroocks,19 - 24,"Oily, Medium, Neutral",2024-09-24,"Sunscreen tercocok, terbagus, ter affordable, pokoknya ter ter ter. Finishnya matte, gampang menyerap, dan cocok banget untuk kulit oily, acne prone skin. Gaada fragrance sama sekali, dan teksturnya mirip gel cream (?) ringan pokoknya. Untuk setelah pakai after feeling nya ga bakal kerasa berat, dan mostly setiap pakai nahan minyak lumayan bgt. Udah repurchase berkali-kali sampe gabisa diitung itu bekas tube ada berapa mungkin sekitar 10(?) karena emang sebagus itu dan udah pake dari lamaaaa. Awalnya emang coba-coba karena kok ada varian yg khusus acne, pas awal aku pakenya yang hydrasoothe. Tapi cocok banget sama yg inii, saran buat Azarine kedepannya tolong launch produk ini dengan size yg lebih besar dan isi lebih banyak donggg untuk kaum yang malas beli-beli muluuuu lovvvv ❤️❤️❤️",6 months - 1 year,Murni Cosmetics Nusa Dua,starbroocks recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
alicslwa_,18 and Under,"Oily, Medium, Neutral",2024-09-23,"Aku suka banget sama sunscreen ini. Apalagi buat aku yang skintype nya oily, sunscreen ini sama sekali ga bikin muka jadi kilang minyak. Finish nya matte di kulit jadi mau dipake dari pagi sampe siang pun paling minyakan sedikit (which is normal). Sebenernya di awal pemakaian aku ngerasa sunscreen ini ga bikin kusam sama sekali, tapi ntah kenapa akhir² ini aku ngerasa malah jadi kusem(?) kalo misal sunscreen nya ga diset pake bedak. Aku gatau ini karena emang sunscreennya bikin kusam dari awal tapi aku ga sadar atau makin dipake malah bikin kusam. Repurchase? Masih oke",1 week - 1 month,Shopee,alicslwa_ recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
zakiatr_,19 - 24,"Oily, Medium Light, Cool",2024-09-23,"Pernah pake sekali karena ditempatku yang varian yang biasa aku beli habis. Menurutku ini oke sih, untuk kulit oily dia ga lama dalam ngeset trus ga ada whitecast juga. Kalo ditimpa make up juga aman ga bikin geser complexion asalkan tunggu kering dulu ya",1 week - 1 month,Traditional Market,zakiatr_ recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
kholifahtur81,30 - 34,"Combination, Medium Dark, Warm",2024-09-21,"Produk ini bagus bgt, bener"" langsung menyerap n gk white cast.. Dtambah ini khusus acne bisa menenangkan kulit yg lagi meradang.. Lembut di kulit...... Harganya jga terjangkau, gk menguras kantong.. Wort it to buy.. #MyEveryDay Make up",1 week - 1 month,Tokopedia,kholifahtur81 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
PattD59,19 - 24,"Dry, Medium Light, Warm",2024-09-18,"Cocok bgt di aku gatau knp, pdhl buat kulit oily and berjerawat. Ngesetnya bagus bgt dan kyk ngga pake apa-apa. Di aku manfaatnya sedang"" aja, ngga yang wah gmn gitu. Melembabkannya cukup bgt, affordable",6 months - 1 year,Shopee,PattD59 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Moshimosh,19 - 24,"Oily, Medium Light, Neutral",2024-09-17,Pas awal buka agak skeptis sama tekstur nya karna thick. Tapi pas di apply bener bener melt dan adem + cepat meresap. Di blend juga aman banget. No whitecast! My bestt sunscreen dengan harga yg affordable dan biasanya aku juga pake ini aja untuk daily karna cukup melembabkan dan ga kusem.,6 months - 1 year,Shopee,Moshimosh recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
arzahra,25 - 29,"Combination, Medium Light, Neutral",2024-09-17,Andalan kalo kulit lagi berjerawat✨ Teksturnya lebih ringan dan lembab drpd versi hydrasoothe—direkomendasikan buat kulit berjerawat since its SPF 30 dan bisa calming redness juga. Cuma menurutku di kulitku yg dehidrasi calm my acne ini masih kurang lembab kl buat skipcare jd harus pake moist dulu 🙃,More than 1 year,PR Package,arzahra recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
yepporara,19 - 24,",19 - 24",2024-09-16,"menurut aku pribadi, ini sunscreen ternyaman, ngga berat di muka, ngga bikin kusem, trus ngebantu mudarin bekas jerawat juga (sekitar 6 bulan) bks jerawatku pudar, ohiya type kulitkukombinasi + acne, harganya oke, aman di kanton pelajar....",More than 1 year,Shopee,yepporara recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
anggiwpn,25 - 29,"Oily, Medium Light, Neutral",2024-09-16,"Udah pakai ini selama sebulan lebih, teksturnya cream bening macam gel gitu jadi ga akan bikin muka putih2 gitu, karena saat di aplikasikan dimuka dia bening gitu ada efek dingin2nya jugaa. Tidak berminyak di muka dan kl udah set jadi matte gitu.",1 week - 1 month,Guardian,anggiwpn recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
luthfiahrnr_,19 - 24,"Combination, Medium, Neutral",2024-09-10,pas awal produk nya dikeluarin teksturnya kayak agak thick tapi setelah di blend jadi ringan dan nyaman banget. untuk merawat jerawat aku ngga terlalu merhatiin tapi emang calming kemerahan di kulitku. gaada whitecast dan nyatu bgt sama makeup.,1 week - 1 month,mitufaya,luthfiahrnr_ recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
Liamel,19 - 24,"Oily, Medium Light, Neutral",2024-09-03,"Bagus bangett untuk kulit aku yang kombinasi, dan suka merah”. dia tekstur nya ringan banget di kulit, dan ada sedikit sensasi cooling nya waktu dipake. Ga bikin close komedo karna dia ringan banget kayak pake moist, aku sebenernya udah cocok sama ss azarine yang biasa itu, tpi ini ternyata lebih bagus lagi kandungan nya buat kulit jerawatan",1 week - 1 month,Alfamart,Liamel recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
m_michel,19 - 24,"Combination, Light, Neutral",2024-09-02,"Ini sunscreen bagus banget untuk yang ga mau pake moisturizer tapi langsung suncreen, karena lemba-in nya dapet banget untuk kulit kombinasi oily mendekati normal dan normal mendekati kering kayak aku, tapi aku tetep sarankan buat pake moisturizer dulu sih biar kelembaban kulit terjaga seharian.",More than 1 year,Shopee,m_michel recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
NadiaLuthfita,19 - 24,"Oily, Medium Dark, Neutral",2024-09-01,"Udah repuscase berapa kali? Banyak! Udah 6+ ss Azarine pakenya. Dari jaman sekolah sampai dah lulus masih pake karena secocok itu sama kulitku. Pie aku perlahan memudar karena sering aku totolin pake ss Azarine ini. Mana murah lagi, sukaa sampe titik terakhir!",More than 1 year,Tokopedia,NadiaLuthfita recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
amyunic,25 - 29,"Combination, Light, Neutral",2024-08-28,"One of the best sunscreen!! Karena ini salah satu sunscreen yg bener-bener aman di kulit aku yg super sensitif dan super acne prone. Susah bgt nyari sunscreen yg aman di kulit aku, karena gampang perih, gampang merah, dan rentan berjerawat. Sunscreen Azarine yg ini teksturnya creamy lotion yg ringan, langsung melting di kulit, langsung menyerap, dan pas di apply ada sedikit sensasi cooling + calming. Bener-bener nyaman dipake banget, ga berat dipake aktifitas. Dan sunscreen ini ga nambah oily di tzone, tapi melembabkan di area lain. Juga ga bikin mata perih. Definisi perfect sunscreen for sensitive-acne prone skin. Apalagi harganya yg affordable. Sungkem sama Azarine!!",1 month - 3 months,Shopee,amyunic recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
syifaamz,19 - 24,"Combination, Medium, Cool",2024-08-28,"untuk wajah yang berjerawat, cocok banget di muka aku dan ga berat juga di muka. cepat meresap, buat yg acne prone boleh coba produk azarine yg spf 35 PA +++ sangat akuu di rekomendasikan. ramah dikantong dan hasilnya ga kaleng-kaleng sukakk bangettt",1 month - 3 months,Shopee,syifaamz recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Dyann,19 - 24,"Combination, Medium Dark, Warm",2024-08-23,"Ss nya ringan banget dan cepet nyerepnya. Dulu pas jerawatku meradang aku masih pake dan foilaaa malah bantu dikit dikit calmingkan jeriwit dong dengan waktu yang gak singkat tentunya☺️Udah habis bertube tube ini akunya udah gak kehitung lagi, skrg sih selalu nyetok pokoknya!",3 months - 6 months,Shopee,Dyann recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
ynialf,19 - 24,"Combination, Medium Light, Neutral",2024-08-18,"Sunscreen ringan bangett, definisi langsung nyerep trs bener” enak buat diapply trs finishnya jg ga berminyak alay gtu, pokoknya sgt recomended🫶Buat jerawat juga calming banget, walaupun aku jarang jerawat tp aku suka pake varian yg ini, cocok buat bruntusan jg",1 week - 1 month,Shopee,ynialf recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
erlinarahmynt,25 - 29,"Combination, Medium Light, Neutral",2024-08-17,"Salah satu sunscreen ternyaman dari azarine. Sesuai klaimnya, calm my acne, emang bisa calming redness dan pas wajah lagi breakout pun tetep nyaman. Gak ada whitecast, gak pedih di mata, gak bikin kering/berminyak, malah bikin glowing.",1 month - 3 months,Tokopedia,erlinarahmynt recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
carica,25 - 29,"Combination, Dark, Neutral",2024-08-11,"awalnya iseng nyobain beli karna liat di salah satu toko kosmetik dengan tulisan calm my acne yang jadi fokus utama, ternyata setelahdi pakai enak melembabkan juga di aku ada sensasi agak adem tiap reapply apalagi di siang hari , aku sih ngrasanya gitu di aku",1 month - 3 months,Official Brand Store,carica recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
qurpitho,25 - 29,"Oily, Medium, Warm",2024-08-11,Lebih suka ini dari pada varian yangg hydrashoothe. Sunscreen ini lebih melembabkan walaupun sama-sama buat wajah kusam. Teksturnya juga gampang diblend dan gak bikin breakout. Spf 30 cocok untuk reapply sunscreen kalau lagi di rumah.,1 week - 1 month,Shopee,qurpitho recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
fauzighafar,30 - 34,"Oily, Medium, Neutral",2024-08-06,"pertama keracunan ini liat selebgram pas. terus beki 1 ternyata cocok bgt diwajah aku. terus ga bikin kulit berminyak nambah byk minyak, ok sihbuat laki2 jg dipake rekomen bgt aplg harganya jg terjangkau toplah yaa ini produknya pilihan.",1 week - 1 month,Tokopedia,fauzighafar recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
mawarafifah12,19 - 24,"Combination, Medium, Cool",2024-08-06,"Suka banget sama sunscreen azarine ini, bener bener ngerawat jerawat aku yang ilang muncul hahahaha. Bekas jerawat juga udah pada memudar hihi thank you love banyak banyak. Ini aku bakal jadiin sunscreen andalan aku sih muah muah muah",1 month - 3 months,Shopee,mawarafifah12 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
lil_manobal_lyrio,19 - 24,"Combination, Medium Light, Neutral",2024-08-06,"Azarine punya sunscreen gapernah ngecewain deh🤍🤭, soalnya inisaamaaa bagusnya sama yg spf 45 ya cuma aku iseng aja mo cobaa😂 dan lebih kepincut sama yg spf kecill biar aman ni mukaa pas lg ancurr🥹 gaada baunya, ngeblend mudah , gaada whitecast samsel, cepat nyerapp 🤍🤍❤️‍🔥🫵🏻🫵🏻",1 week - 1 month,Traditional Market,lil_manobal_lyrio recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
fatyaliza,19 - 24,"Oily, Medium, Warm",2024-08-04,"awal beli sunscreen ini tuh karna minta punya temen (gara-gara waktu itu lupa bawa sunscreen😅) terus pas aku pake, kok enak ya pakai sunscreen ini dimuka wkwk, akhirnya aku beli sunscreen ini dan say byebye ke sunscreen yang lama😁 tipe kulitku ini oily skin, dan aku ngerasa pas pake sunscreen ini gak bikin makin oily dan gak bikin muka jadi kusam, bahkan sunscreen ini (dimukaku) bener bener sesuai claimnya yaitu calm my acne, karena bener bener ngaruh buat menenangkan jerawat jerawat yang sedang timbul dimukaku.Dari sekian banyak kelebihannya, menurutku kekurangan sunscreen ini adalah punya tekstur yang 'berat' atau 'padat' gt lohhh, dan aku agak kurang nyaman huhu. tapi masih tetap kugunakan kok. karna sunscreen ini dikulitku lebih banyak kelebihannya dibandingkan kekurangannya😍kalo ditanya akan beli lagi atau tidak? jawabannya definitely yessss yesss yesss! karna sudah secinta itu (bahkan udah setahun lebih pakai sunscreen ini) hehehe",More than 1 year,Shopee,fatyaliza recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
riyuuu_u,19 - 24,"Oily, Medium, Warm",2024-08-02,"awal pemakaian cocok di aku, kalo buat jerawat aku kurang ngeh dia bikin jerawat mendingan nggak. Tapi akhir2 ini aku perhatiin kok di muka jadi kusem banget kayak abis dari sawah :(( Sorry azarine :(",6 months - 1 year,Transmart,riyuuu_u doesn't recommend this product!,2,Azarine Calm My Acne Sunscreen Moisturizer
